Wall time,Step,Value
1562154910.0972905,1037618,0.96875
1562154912.002456,1037746,1.0
1562154935.802687,1039346,1.0
1562154968.1426702,1041522,0.96875
1562155011.9104207,1044466,0.984375
1562155057.656533,1047538,0.984375
1562155198.2426903,1049629,0.96875
1562155201.1172876,1049821,0.96875
1562155202.077319,1049885,0.984375
1562155218.3752892,1050973,0.96875
1562155229.8079557,1051741,0.9375
1562155250.6817334,1053149,1.0
1562155269.6014252,1054429,0.953125
1562155284.7966716,1055453,1.0
1562155308.611791,1057053,0.984375
1562155373.3701134,1061405,1.0
1562155395.268485,1062877,0.9375
1562155397.1652398,1063005,1.0
1562155413.3417194,1064093,0.984375
1562155513.2177482,1070813,0.96875
1562155545.5714347,1072989,1.0
1562155555.0862417,1073629,0.984375
1562155606.4400733,1077085,1.0
1562155611.193336,1077405,1.0
1562155651.220709,1080093,0.9375
1562155657.897766,1080541,1.0
1562155683.6772125,1082269,0.984375
1562155684.6249504,1082333,0.984375
1562155720.7889986,1084765,1.0
1562155767.467836,1087901,0.96875
1562155805.5487943,1090461,1.0
1562155807.448797,1090589,0.984375
1562155967.3697672,1093576,0.984375
1562155975.055622,1094088,0.96875
1562156085.526354,1101512,1.0
1562156099.8515108,1102472,0.984375
1562156103.666744,1102728,0.984375
1562156117.0303614,1103624,1.0
1562156136.1102998,1104904,1.0
1562156200.925993,1109256,0.984375
1562156203.7798688,1109448,1.0
1562156223.7822835,1110792,0.96875
1562156237.1172638,1111688,1.0
1562156239.9815142,1111880,0.96875
1562156248.553167,1112456,1.0
1562156271.4254224,1113992,0.96875
1562156281.9211476,1114696,0.953125
1562156295.2644713,1115592,0.96875
1562156299.0835125,1115848,1.0
1562156317.1827652,1117064,0.96875
1562156347.7087407,1119112,0.984375
1562156384.866393,1121608,0.984375
1562156390.5950747,1121992,0.984375
1562156398.2268157,1122504,0.96875
1562156441.0888,1125384,0.984375
1562156473.4955242,1127560,0.953125
1562156502.0209394,1129480,0.984375
1562156511.5473037,1130120,0.984375
1562156543.9900908,1132296,0.96875
1562156577.3659732,1134536,1.0
1562156589.7734,1135368,0.96875
1562156595.4866574,1135752,0.984375
1562156846.5895886,1136584,0.9375
1562156894.59148,1139848,1.0
1562156982.9675922,1145864,0.96875
1562156991.5045254,1146440,1.0
1562157022.6966028,1148552,0.953125
1562157057.2074225,1150856,0.953125
1562157088.7784998,1152968,0.984375
1562157107.058537,1154184,0.984375
1562157113.9083567,1154632,0.96875
1562157133.125221,1155912,0.984375
1562157160.09885,1157704,0.96875
1562157213.7391343,1161288,0.953125
1562157215.6407874,1161416,0.984375
1562157264.5693228,1164680,0.96875
1562157347.4936345,1170184,0.96875
1562157357.0186043,1170824,0.984375
1562157392.9832194,1173192,0.96875
1562157399.6649125,1173640,0.984375
1562157401.5790002,1173768,0.953125
1562157641.17414,1181619,0.984375
1562157698.8830078,1185523,0.984375
1562157703.626653,1185843,0.984375
1562157721.5805025,1187059,0.984375
1562157733.1476877,1187827,0.984375
1562157734.0927432,1187891,0.984375
1562157739.9674497,1188275,0.984375
1562157758.1155472,1189491,0.96875
1562157786.8904295,1191411,1.0
1562157787.839044,1191475,1.0
1562157791.745614,1191731,0.984375
1562157802.3326945,1192435,0.9375
1562157810.1013298,1192947,0.984375
1562157851.5242085,1195699,0.984375
1562157888.885029,1198195,0.984375
1562157904.2118003,1199219,1.0
1562157937.7669728,1201459,0.96875
1562157960.8295245,1202995,0.96875
1562158019.3687873,1206899,1.0
1562158049.199472,1208883,1.0
1562158052.0614653,1209075,0.953125
1562158117.4653857,1213427,1.0
1562158123.2650712,1213811,0.984375
1562158155.797938,1215987,0.953125
1562158165.511092,1216627,0.96875
1562158181.859166,1217715,0.984375
1562158206.0545146,1219315,1.0
1562158215.6593406,1219955,0.984375
1562158234.063253,1221171,0.953125
1562158258.9268482,1222835,0.96875
1562158383.4413254,1223518,0.96875
1562158404.314669,1224926,0.96875
1562158517.6611085,1232478,0.984375
1562158599.3126314,1237918,0.984375
1562158630.4542928,1239966,0.984375
1562158673.5598972,1242846,0.96875
1562158697.669291,1244446,0.96875
1562158722.7333193,1246110,0.984375
1562158723.6886935,1246174,0.96875
1562158725.660657,1246302,0.96875
1562158728.5238428,1246494,0.984375
1562158784.1038594,1250206,0.96875
1562158792.679656,1250782,0.96875
1562158856.4081454,1255006,0.984375
1562158859.3199308,1255198,0.984375
1562158868.008635,1255774,1.0
1562158916.2183158,1258974,0.984375
1562158935.5625165,1260254,0.96875
1562158941.2893023,1260638,0.984375
1562158985.4988835,1263582,0.984375
1562159014.3610325,1265502,1.0
1562159015.3154786,1265566,0.96875
1562159023.930997,1266142,0.984375
1562159031.648858,1266654,0.96875
1562159195.104629,1269961,0.984375
1562159202.6209266,1270473,1.0
1562159212.9972053,1271177,1.0
1562159217.6839733,1271497,1.0
1562159335.419381,1279369,0.96875
1562159338.324513,1279561,0.9375
1562159351.8324642,1280457,1.0
1562159441.0498817,1286409,0.984375
1562159442.955526,1286537,0.984375
1562159500.2984464,1290377,1.0
1562159506.0704055,1290761,0.984375
1562159510.001707,1291017,1.0
1562159550.4716108,1293705,0.984375
1562159576.3323107,1295433,1.0
1562159591.8180385,1296457,0.96875
1562159596.5895877,1296777,0.984375
1562159600.450119,1297033,0.96875
1562159610.0018463,1297673,1.0
1562159622.5054743,1298505,0.984375
1562159628.3173018,1298889,0.96875
1562159716.989765,1304777,0.96875
1562159738.1101608,1306185,1.0
1562159750.7037568,1307017,0.984375
1562159770.8716958,1308361,1.0
1562159789.9501615,1309641,1.0
1562159805.098989,1310644,1.0
1562160169.8225422,1313844,1.0
1562160195.9247572,1315444,0.953125
1562160277.934348,1320372,0.984375
1562160281.0826974,1320564,0.96875
1562160285.3862422,1320820,0.96875
1562160301.2710242,1321780,0.984375
1562160316.3272433,1322676,0.984375
1562160401.5838382,1327796,1.0
1562160418.5321078,1328820,0.984375
1562160542.6666937,1336244,1.0
1562160600.4453068,1339700,0.984375
1562160640.2004216,1342068,0.984375
1562160677.7433407,1344308,1.0
1562160724.29831,1347060,0.984375
1562160752.1051555,1348724,1.0
1562160763.7580526,1349428,1.0
1562160764.8060443,1349492,0.984375
1562160803.2750075,1351796,1.0
1562160825.719566,1353140,0.984375
1562160984.3845036,1355167,0.96875
1562160998.8652654,1356063,1.0
1562161066.1371915,1360159,0.984375
1562161121.633532,1363487,1.0
1562161156.5336168,1365599,0.984375
1562161200.9450228,1368287,0.984375
1562161223.4753559,1369631,0.984375
1562161250.1011574,1371231,0.96875
1562161352.1752768,1377375,0.96875
1562161378.9901178,1378975,1.0
1562161395.8787894,1379999,0.984375
1562161409.4724846,1380831,0.96875
1562161415.892164,1381215,0.96875
1562161426.655915,1381855,1.0
